Model,Price,Spec
"realme C2 (Diamond Black, 16 GB)","₹6,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme C15 Qualcomm Edition (Power Blue, 32 GB)","₹11,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Drifting White, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹34,999",6 GB RAM | 128 GB ROM
"realme GT Neo 3T (Drifting White, 128 GB)","₹34,999",6 GB RAM | 128 GB ROM
"realme GT Neo 3T (Shade Black, 128 GB)","₹34,999",6 GB RAM | 128 GB ROM
"realme C12 (Power Blue, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Shade Black, 128 GB)","₹34,999",6 GB RAM | 128 GB ROM
"realme C12 (Power Blue, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C12 (Power Silver, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A Prime (Flash Blue, 128 GB)","₹12,998",4 GB RAM | 128 GB ROM
"realme GT Neo 3T (Dash Yellow, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM
"realme C15 (Power Blue, 32 GB)","₹9,993",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT 2 Pro (Paper Green, 256 GB)","₹57,999",12 GB RAM | 256 GB ROM
"realme GT Neo 3T (Dash Yellow, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM
"realme 2 Pro (Blue Ocean, 64 GB)","₹15,990",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 2 Pro (Ice Lake, 64 GB)","₹13,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 2 Pro (Black Sea, 64 GB)","₹13,990",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 Pro 5G (Hyper Black, 128 GB)","₹20,990",6 GB RAM | 128 GB ROM
"realme 5s (Crystal Blue, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5s (Crystal Red, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5s (Crystal Blue, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme X50 Pro (Moss Green, 256 GB)","₹34,990",12 GB RAM | 256 GB ROM
"realme C2 (Diamond Blue, 32 GB)","₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C2 (Diamond Black, 32 GB)","₹7,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C25Y (Glacier Blue, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C25Y (Metal Grey, 64 GB)","₹12,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (150W - Thor Limited Edition) (Nitro Blue, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM
"realme GT Master Edition (Luna White, 256 GB)","₹25,999",8 GB RAM | 256 GB ROM
"realme 9 5G Speed Edition (Azure Glow,128GB)(8GB RAM) (Azure Glow, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM
"realme 8s 5G (Universe Purple, 128 GB)","₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme narzo 50 5G (Hyper Blue, 64 GB)","₹16,490",4 GB RAM | 64 GB ROM
"realme C25Y (Glacier Blue, 128 GB)","₹13,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Master Edition (Luna White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM
"realme 6 (Comet Blue, 128 GB)","₹16,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Master Edition (Voyager Grey, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM
"realme C1 (Mirror Black, 32 GB)","₹8,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 3 Pro (Nitro Blue, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C1 (Navy Blue, 16 GB)","₹8,990",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme C1 (Mirror Black, 16 GB)","₹8,990",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet Blue, 64 GB)","₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet White, 64 GB)","₹17,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
